game_title,image_url,genre,short_description,player_mode
Street Fighter 6,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg,Fighting,"Modern fighting game with classic characters, a new story, and innovative control options.  Experience thrilling battles and deep customization.",Both
Hunt: Showdown 1896,https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg,Shooter,Competitive bounty hunting in the Louisiana bayou.  Face monstrous creatures and rival players to survive.,Multiplayer
Wuthering Waves,https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg,Action,"Post-apocalyptic open world RPG.  Control powerful characters, battle colossal enemies, and unravel a dark mystery.",Both
Arma Reforger,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg,Simulation,"Open-world military simulation on a fictional 1980s island.  Explore, fight, and build using a revamped engine.",Both
Lethal Company,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg,Action,"Manage a mercenary company, completing dangerous contracts, upgrading your soldiers, and navigating a brutal, war-torn world.",Multiplayer
Arena Breakout: Infinite,https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg,Shooter,Description unavailable,Multiplayer
Zenless Zone Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg,Action,"Post-apocalyptic Tokyo.  Fight monstrous enemies with stylish weaponry as a Proxy, protecting humanity in a mysterious, ever-changing zone.",Both
ARK: Survival Ascended,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg,Survival,"Survive, tame, and build in a massive dinosaur-filled world.  Enhanced visuals and gameplay await.",Both
Sid Meier's Civilization VII,https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg,Strategy,"Lead a civilization through history, from ancient times to a futuristic age, managing resources, diplomacy, and warfare to achieve global dominance.",Both
SMITE 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg,MOBA,"A revamped MOBA featuring updated gods, refined gameplay, and enhanced visuals.  Experience thrilling 5v5 battles.",Multiplayer
Throne and Liberty,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg,MMORPG,"MMORPG blending fantasy and action, featuring dynamic weather, seamless world, and intense PvP combat.",Both
Enshrouded,https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg,Unknown,"A post-apocalyptic survival MMO where players scavenge, craft, and build in a mysterious, fog-shrouded world.",Both
Poppy Playtime,https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg,Horror,"Explore a creepy abandoned toy factory, solve puzzles, and evade terrifying creatures in this first-person horror adventure.",Singleplayer
It Takes Two,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t97.jpg,Platformer,"A divorced couple, magically transformed into dolls, must cooperate through fantastical levels to repair their relationship.",Multiplayer
DYNASTY WARRIORS: ORIGINS,https://images.igdb.com/igdb/image/upload/t_cover_big/co9129.jpg,Action,"Experience iconic Chinese history through hack-and-slash action.  Command legendary warriors, conquer kingdoms, and forge your destiny.",Both
NHL 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8pwh.jpg,Sports,"Experience authentic hockey action with improved gameplay, enhanced visuals, and exciting new features.",Both
Balatro,https://images.igdb.com/igdb/image/upload/t_cover_big/co752b.jpg,Strategy,"Outwit cunning opponents in fast-paced, chaotic arena battles using unique character abilities and strategic item drops.",Unknown
